Name,model.module,test/auc,test/accuracy,test/f1,test/macro_f1,test/precision,test/recall,model.params.agg_d_model,model.params.agg_nhead,model.params.agg_num_layers,model.params.dropout,training.class_weights,training.batch_size,training.epochs,training.peak_lr,training.eta_min,training.warmup_fraction,data.embed_dir
"sm9","mean_agg","0.6615706523573286","0.759090909090909","0.4044943820224719","0.6267486155126605","0.37894736842105264","0.43373493975903615","192","6","4","0.2","[1,8]","16","30","0.0004","0.000001","0.05","./gpt2_embed"
"sm4","mean_agg","0.6980189666227936","0.7477272727272727","0.4365482233502538","0.6370149608698561","0.3771929824561403","0.5180722891566265","256","8","4","0.25","[1,8]","8","40","0.0003","0.000001","0.05","./gpt2_embed"
"sm2","mean_agg","0.7018662886841484","0.65","0.4166666666666667","0.5833333333333334","0.30386740331491713","0.6626506024096386","256","8","4","0.2","[1,8]","8","20","0.0003","0.000001","0.05","./gpt2_embed"
"sm10","mean_agg","0.6943235125375452","0.509090909090909","0.39325842696629215","0.49052234325413846","0.2564102564102564","0.8433734939759037","64","4","3","0.15","[1,8]","16","30","0.0007","0.000001","0.03","./gpt2_embed"
"sm1","mean_agg","0.672066416928217","0.49772727272727274","0.3703703703703703","0.47630049709444794","0.24253731343283583","0.7831325301204819","256","8","4","0.2","[1,4]","8","20","0.0003","0.000001","0.05","./gpt2_embed"
"sm5","mean_agg","0.6447301812291182","0.4681818181818182","0.35359116022099446","0.45092685424177137","0.22939068100358423","0.7710843373493976","256","8","6","0.3","[1,8]","8","30","0.0002","0.000001","0.1","./gpt2_embed"
"sm3","mean_agg","0.667122270594985","0.19545454545454544","0.3192307692307692","0.1679487179487179","0.18993135011441648","1","256","8","4","0.2","[1,10]","8","20","0.0003","0.000001","0.05","./gpt2_embed"
"sm8","mean_agg","0.6622456211400223","0.19090909090909092","0.31800766283524906","0.16179712750701","0.18906605922551253","1","128","4","4","0.2","[1,8]","16","30","0.0005","0.000001","0.05","./gpt2_embed"
"med4","mean_agg","0.5310823124430496","0.18863636363636363","0.3173996175908222","0.1586998087954111","0.18863636363636363","1","512","8","6","0.2","[1,8]","8","30","0.0003","0.000001","0.05","./gpt2_embed"
"med3","mean_agg","0.5090614559076643","0.18863636363636363","0.3173996175908222","0.1586998087954111","0.18863636363636363","1","512","8","6","0.3","[1,10]","4","20","0.00015","0.000001","0.1","./gpt2_embed"
"med2","mean_agg","0.5624177381796093","0.18863636363636363","0.3173996175908222","0.1586998087954111","0.18863636363636363","1","512","8","6","0.3","[1,8]","4","20","0.00015","0.000001","0.1","./gpt2_embed"
