"Name","model.module","test/auc","test/accuracy","test/f1","test/macro_f1","test/precision","test/recall","test/threshold","test/best_variant","model.params.enc_d_model","model.params.enc_nhead","model.params.enc_num_layers","model.params.agg_d_model","model.params.agg_nhead","model.params.agg_num_layers","model.params.dropout","training.class_weights","training.batch_size","training.epochs","training.peak_lr","training.eta_min","training.warmup_fraction","training.weight_decay","training.label_smoothing"
"260503_runs_gpt_agg_sm2_test","mean_agg","0.7018662886841484","0.65","0.4166666666666667","0.5833333333333334","0.30386740331491713","0.6626506024096386","0.5","best_f1","768","","","256","8","4","0.2","[1,8]","8","20","0.0003","0.000001","0.05","0.05","0.1"
"260503_gpt_sweep1_gpt_agg_sm4_test","mean_agg","0.6980189666227936","0.7477272727272727","0.4365482233502538","0.6370149608698561","0.3771929824561403","0.5180722891566265","","best_f1","768","","","256","8","4","0.25","[1,8]","8","40","0.0003","0.000001","0.05","0.1","0.1"
"260503_runs_gpt_agg_sm9_test","mean_agg","0.6615706523573286","0.7727272727272727","0.39759036144578314","0.6287671695184098","0.39759036144578314","0.39759036144578314","0.62","best_f1","768","","","192","6","4","0.2","[1,8]","16","30","0.0004","0.000001","0.05","0.075","0.1"
"260503_runs_trf_start_test","mean_transformer","0.7376058857277852","0.7977272727272727","0.38620689655172413","0.6325592305887873","0.4516129032258064","0.3373493975903614","0.01","best_auc","96","4","2","96","4","2","0.5","[1,4]","4","15","0.00005","0.000001","0.1","0.1","0"
"260503_sweep1_trf_07_test","mean_transformer","0.7327292362728224","0.8159090909090909","0.18181818181818185","0.5390524967989757","0.5625","0.10843373493975904","","best_auc","96","8","2","96","4","2","0.5","[1,3]","4","15","0.00003","0.000001","0.15","0.15","0.05"
"260503_runs_trf_07_test","mean_transformer","0.7322567581249367","0.7227272727272728","0.44036697247706424","0.628038471132792","0.35555555555555557","0.5783132530120482","0.04","best_auc","96","8","2","96","4","2","0.5","[1,3]","4","15","0.00003","0.000001","0.15","0.15","0.05"
"260430_auc_heads_deep_causal_transformer_test","causal_transformer","0.7128007829637879","0.7909090909090909","0.19298245614035087","0.5364390087490266","0.3548387096774194","0.13253012048192772","","","128","8","4","128","8","4","0.4","[1,8]","4","15","0.0001","0.000001","0.1","0.1","0"
"260430_auc_deeper_causal_transformer_test","causal_transformer","0.7119064493267186","0.6113636363636363","0.4","0.5563025210084034","0.28217821782178215","0.6867469879518072","","","128","4","4","128","4","4","0.4","[1,8]","4","15","0.0001","0.000001","0.1","0.1","0"
"260430_auc_heads_causal_transformer_test","causal_transformer","0.6926360905808107","0.7659090909090909","0.3905325443786982","0.6228330795029919","0.38372093023255816","0.39759036144578314","","","128","8","2","128","8","2","0.4","[1,8]","4","15","0.0001","0.000001","0.1","0.1","0"
"260430_auc_2heads_causal_transformer_test","causal_transformer","0.6785629914616449","0.8022727272727272","0.06451612903225806","0.4769848751895725","0.3","0.03614457831325301","","","128","2","2","128","2","2","0.4","[1,8]","4","15","0.0001","0.000001","0.1","0.1","0"
